,Округ,Район,Площадь,Площадь лог,Кол-во комнат,Этаж,Этажей в доме,Первый этаж,Последний этаж,Метро,Расстояние до метро (ед),Расстояние указано пешком,Расстояние указано на транспорте,Тип дома,Указан раздельный санузел,Несколько санузлов,Балкон указан,Окна,Окна во двор,Ремонт,Наличие ремонта,Возраст дома,Доля жилой площади,Доля куханной площади,Площадь кухни
29,ВАО,р-н Ивановское,31.6,3.4531571205928664,1,10.0,12.0,False,False,Новогиреево,10,False,True,Панельный,False,False,True,,False,Косметический,True,47.0,,0.2531645569620253,8.0
30,НАО (Новомосковский),Сосенское поселение,29.7,3.391147045808654,СиА,3.0,12.0,False,False,Коммунарка,2,False,True,,False,False,True,,False,Без ремонта,False,,0.4377104377104377,0.2996632996632997,8.9
31,НАО (Новомосковский),Десеновское поселение,28.0,3.332204510175204,СиА,2.0,17.0,False,False,Ольховая,1,False,True,,False,False,True,,False,Косметический,True,,,,
32,НАО (Новомосковский),Сосенское поселение,26.0,3.258096538021482,СиА,7.0,15.0,False,False,Коммунарка,1,False,True,,False,False,False,,False,Евроремонт,True,,,,
33,НАО (Новомосковский),Щербинка,35.0,3.5553480614894135,1,12.0,16.0,False,False,Бунинская аллея,1,False,True,Монолитный,True,False,True,,False,Евроремонт,True,7.0,0.5142857142857142,0.22857142857142856,8.0
34,ЮВАО,р-н Некрасовка,31.3,3.4436180975461075,1,7.0,17.0,False,False,Некрасовка,1,False,True,Панельный,True,False,True,,False,Евроремонт,True,3.0,,,
35,ЮВАО,р-н Кузьминки,33.1,3.4995332823830174,1,3.0,9.0,False,False,Рязанский проспект,1,False,True,Панельный,False,False,False,,False,Косметический,True,53.0,0.5740181268882175,0.20543806646525678,6.8
36,ЮАО,р-н Нагорный,34.0,3.5263605246161616,1,1.0,8.0,True,False,Варшавская,2,False,True,Кирпичный,False,False,False,,False,Косметический,True,58.0,0.5,0.17647058823529413,6.0
37,НАО (Новомосковский),Сосенское поселение,23.3,3.1484533605716547,СиА,12.0,15.0,False,False,Коммунарка,1,False,True,,True,False,True,,False,Дизайнерский,True,,,0.2575107296137339,6.0
38,НАО (Новомосковский),Внуковское поселение,33.8,3.520460802488973,1,3.0,17.0,False,False,Рассказовка,11,False,True,Монолитный,False,False,True,,False,Косметический,True,3.0,,0.2958579881656805,10.0
39,НАО (Новомосковский),Коммунарка поселок,35.0,3.5553480614894135,1,18.0,19.0,False,False,Бунинская аллея,16,False,True,Монолитный,False,False,True,,False,Евроремонт,True,3.0,,,
40,САО,р-н Коптево,32.0,3.4657359027997265,1,8.0,9.0,False,False,Петровско-Разумовская,5,False,True,Кирпичный,True,False,True,Во двор,True,,True,55.0,0.5625,0.1875,6.0
41,ЮВАО,р-н Выхино-Жулебино,32.0,3.4657359027997265,1,5.0,5.0,False,True,Выхино,7,False,True,Блочный,False,False,True,,False,Косметический,True,53.0,,,
42,ЮЗАО,р-н Зюзино,32.3,3.475067230228611,1,3.0,9.0,False,False,Каховская,1,False,True,Блочный,False,False,True,,False,Косметический,True,56.0,0.6749226006191952,0.16099071207430343,5.2
43,ЮВАО,р-н Выхино-Жулебино,32.7,3.487375077903208,1,7.0,9.0,False,False,Лермонтовский проспект,1,False,True,Монолитный,True,False,True,,False,Косметический,True,53.0,0.5718654434250764,0.20489296636085624,6.7
44,САО,р-н Западное Дегунино,33.0,3.4965075614664802,1,6.0,8.0,False,False,Селигерская,6,True,False,,False,False,True,На улицу,False,Без ремонта,False,,0.6060606060606061,0.30303030303030304,10.0
45,ЮВАО,р-н Кузьминки,35.0,3.5553480614894135,1,8.0,12.0,False,False,Кузьминки,1,False,True,Блочный,True,False,True,,False,Косметический,True,54.0,0.5714285714285714,0.2857142857142857,10.0
46,ВАО,р-н Вешняки,32.9,3.493472657771326,1,8.0,9.0,False,False,Выхино,1,False,True,Панельный,False,False,False,,False,Косметический,True,49.0,0.5744680851063829,0.20364741641337386,6.7
47,СЗАО,р-н Южное Тушино,34.0,3.5263605246161616,1,4.0,16.0,False,False,Сходненская,1,False,True,Панельный,False,False,True,,False,Косметический,True,30.0,0.5735294117647058,0.2823529411764706,9.6
48,ВАО,р-н Восточное Измайлово,34.3,3.535145354171894,1,4.0,16.0,False,False,Щелковская,1,False,True,Панельный,True,False,True,,False,Косметический,True,36.0,0.5539358600583091,,
49,САО,р-н Хорошевский,34.6,3.543853682063679,1,3.0,16.0,False,False,Беговая,3,False,True,Блочный,False,False,True,,False,Косметический,True,43.0,0.5635838150289018,0.2774566473988439,9.6
50,СВАО,р-н Бутырский,35.0,3.5553480614894135,1,1.0,16.0,True,False,Фонвизинская,1,False,True,Блочный,False,False,True,,False,Косметический,True,39.0,0.5428571428571428,0.2857142857142857,10.0
51,СЗАО,р-н Щукино,31.0,3.4339872044851463,СиА,4.0,8.0,False,False,Октябрьское поле,15,True,False,Кирпичный,False,False,True,,False,Евроремонт,True,59.0,0.5806451612903226,0.1935483870967742,6.0
52,ЮВАО,р-н Кузьминки,34.8,3.5496173867804286,1,12.0,12.0,False,True,Рязанский проспект,1,False,True,,False,False,True,,False,Евроремонт,True,53.0,,,
