,Цена за метр^2,Цена
0,181515.15151515152,5990000.0
1,212187.5,6790000.0
2,217878.78787878787,7190000.0
3,238807.6923076923,6209000.0
4,193636.36363636365,6390000.0
5,199971.42857142858,6999000.0
6,217611.94029850746,7290000.0
7,190600.0,5718000.0
8,91896.55172413794,3198000.0
9,191666.66666666666,2300000.0
10,208695.65217391305,7200000.0
11,190000.0,2850000.0
12,147368.42105263157,2800000.0
13,208823.5294117647,3550000.0
14,186335.40372670806,3000000.0
15,160869.5652173913,3700000.0
16,175510.20408163266,4300000.0
17,190000.0,3800000.0
18,242138.36477987422,3850000.0
19,208860.7594936709,4950000.0
20,203846.15384615384,5300000.0
21,145714.2857142857,5100000.0
22,160409.55631399318,4700000.0
23,160000.0,5600000.0
24,186206.89655172414,5400000.0
25,225531.914893617,5300000.0
26,219607.8431372549,5600000.0
27,285000.0,5700000.0
28,168285.7142857143,5890000.0
29,186708.86075949366,5900000.0
30,198653.19865319866,5900000.0
31,210714.2857142857,5900000.0
32,226923.07692307694,5900000.0
33,171428.57142857142,6000000.0
34,194888.17891373803,6100000.0
35,188821.75226586103,6250000.0
36,179411.76470588235,6100000.0
37,265236.05150214594,6180000.0
38,185502.95857988167,6270000.0
39,180000.0,6300000.0
40,203125.0,6500000.0
41,201562.5,6450000.0
42,207120.74303405575,6690000.0
43,211009.1743119266,6900000.0
44,209090.9090909091,6900000.0
45,197142.85714285713,6900000.0
46,212765.95744680852,7000000.0
47,208823.5294117647,7100000.0
48,209912.5364431487,7200000.0
49,216763.0057803468,7500000.0
50,217142.85714285713,7600000.0
51,245161.29032258064,7600000.0
52,218390.80459770118,7600000.0
53,237654.32098765433,7700000.0
54,240625.0,7700000.0
55,228285.7142857143,7990000.0
56,262820.5128205128,8200000.0
57,280528.05280528055,8500000.0
58,283018.8679245283,9000000.0
59,285294.1176470588,9700000.0
60,285294.1176470588,9700000.0
61,284883.72093023255,9800000.0
62,416666.6666666667,10000000.0
63,371747.2118959108,10000000.0
64,295000.0,10062450.0
65,397350.99337748345,12000000.0
66,163000.0,3015500.0
67,208250.0,2499000.0
68,163000.0,3097000.0
69,140969.16299559473,3200000.0
70,116666.66666666667,3500000.0
71,232638.88888888888,3350000.0
72,200000.0,3760000.0
73,200000.0,3740000.0
74,271241.8300653595,4150000.0
75,138989.16967509026,3850000.0
76,185185.1851851852,5000000.0
77,263157.8947368421,5000000.0
78,250000.0,5500000.0
79,337000.0,5392000.0
80,164705.88235294117,5600000.0
81,172413.7931034483,5500000.0
82,169696.9696969697,5600000.0
83,256818.18181818182,5650000.0
84,280714.28571428574,5895000.0
85,165714.25714285715,5799999.0
86,225000.0,5850000.0
87,181114.55108359136,5850000.0
88,170588.20588235295,5799999.0
89,249583.33333333334,5990000.0
90,171511.62790697676,5900000.0
91,184049.07975460123,6000000.0
92,171428.57142857142,6000000.0
93,276818.1818181818,6090000.0
94,187500.0,6300000.0
95,199968.75,6399000.0
96,198170.73170731709,6500000.0
97,198776.75840978592,6500000.0
98,278969.957081545,6500000.0
99,219000.0,6570000.0
100,212870.96774193548,6599000.0
101,233379.5975017349,6726000.0
102,203030.30303030304,6700000.0
103,223333.33333333334,6700000.0
104,212187.5,6790000.0
105,207575.75757575757,6850000.0
106,207575.75757575757,6850000.0
107,278947.36842105264,6890000.0
108,204142.01183431954,6900000.0
109,197142.85714285713,6900000.0
110,225806.4193548387,6999999.0
111,199428.57142857142,6980000.0
112,259259.25925925927,7000000.0
113,202312.13872832368,7000000.0
114,291666.6666666667,7000000.0
115,202571.42857142858,7090000.0
116,201428.57142857142,7050000.0
117,246575.34246575343,7200000.0
118,220552.14723926378,7190000.0
119,218562.874251497,7300000.0
120,205714.2857142857,7200000.0
121,214257.14285714287,7499000.0
122,231093.75,7395000.0
123,233750.0,7480000.0
124,218390.80459770118,7600000.0
125,338130.4347826087,7777000.0
126,236363.63636363635,7800000.0
127,238601.8237082067,7850000.0
128,224285.7142857143,7850000.0
129,238670.69486404833,7900000.0
130,285357.14285714284,7990000.0
131,236686.3905325444,8000000.0
132,246969.69696969696,8150000.0
133,234285.7142857143,8200000.0
134,239705.88235294117,8150000.0
135,256250.0,8200000.0
136,256211.18012422358,8250000.0
137,254545.45454545456,8400000.0
138,293333.3333333333,8800000.0
139,260000.0,9100000.0
140,280235.98820058996,9500000.0
141,296969.69696969696,9800000.0
142,309375.0,9900000.0
143,353448.275862069,10250000.0
144,305714.28571428574,10700000.0
145,343750.0,11000000.0
146,318181.8181818182,10500000.0
147,360294.1176470588,12250000.0
148,244932.88590604026,7299000.0
149,172566.37168141594,5850000.0
150,337931.0344827586,9800000.0
151,178787.87878787878,5900000.0
152,184285.7142857143,6450000.0
153,148064.51612903224,5049000.0
154,201780.41543026705,6800000.0
155,187114.2857142857,6549000.0
157,236666.66666666666,7100000.0
158,202857.14285714287,7100000.0
159,147727.27272727274,3250000.0
160,167500.0,3350000.0
161,167500.0,3350000.0
162,169500.0,3390000.0
163,145208.33333333334,3485000.0
164,132352.9411764706,3600000.0
165,150000.0,3600000.0
166,194736.84210526315,3700000.0
167,123000.0,3690000.0
168,146296.2962962963,3950000.0
169,210000.0,3780000.0
170,294117.57352941175,3999999.0
171,182191.7808219178,3990000.0
172,226775.95628415298,4150000.0
173,173728.81355932204,4100000.0
174,179918.03278688525,4390000.0
175,159259.25925925927,4300000.0
176,228921.568627451,4670000.0
177,141719.74522292995,4450000.0
